Source Destination Port  
206.14.8.104 202.13.6.31 80  
206.14.8.100 202.13.6.128 80  
206.14.8.100 202.13.6.128 80  
206.14.8.100 202.13.6.128 80  
206.14.8.100 202.13.6.128 80  
206.14.8.100 202.13.6.128 80  
206.14.8.100 202.13.6.128 80  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
206.14.8.104 202.13.6.60 443  
